Region	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	NAWM	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WM_line_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion	WML_Lesion
CBS	6	1	0	0	2	4	2	2	6	3	4	2	2	0	3	5	5	5	0	3	0	1	3	4	1	5	2	3	9	10	7	3	2	7	1	5	6	3	6	5	5	0	1	3	8	21	19	16	17	11	16	27	35	18	11	7	5	5	1	3	0	4	0	2	3	4	1	6	3	6	3	8	10	9	8	1	7	5	9	14	14	14	0	3	3	8	8	9	7	11	9
CLN3	1	0	0	2	2	1	3	1	2	2	3	1	4	4	0	3	1	0	2	0	3	1	2	2	0	1	1	4	3	5	2	2	3	3	4	2	9	3	5	7	4	5	4	6	9	11	19	23	20	4	9	16	16	17	5	5	5	10	1	2	1	0	2	1	2	4	3	2	1	0	2	2	4	4	3	1	6	2	10	8	4	4	0	2	3	3	11	8	9	2	4
COL4A3	2	0	0	1	3	3	2	0	4	3	2	0	4	0	0	8	6	1	3	5	4	3	1	3	2	8	2	5	7	10	8	6	3	4	1	5	11	6	4	5	5	7	3	5	17	19	26	9	16	8	24	17	28	30	7	12	16	9	2	3	3	5	3	4	3	2	6	2	2	8	8	7	16	9	13	4	3	3	13	14	12	8	6	0	9	7	17	14	16	10	6
CP	2	4	3	1	4	2	3	2	1	2	6	4	2	4	0	6	2	2	5	3	2	2	3	4	3	5	2	7	9	6	7	7	11	6	0	10	8	2	7	11	10	7	2	13	27	14	21	15	12	8	23	32	17	27	7	4	15	10	3	4	1	2	2	1	4	5	3	6	7	10	9	10	12	10	6	7	8	4	12	14	17	5	4	5	6	6	6	12	13	10	8
CPOX	3	0	1	2	2	3	3	1	1	5	3	0	0	0	3	2	1	2	1	3	1	0	3	1	1	1	0	4	3	4	2	10	3	5	0	3	8	6	3	5	3	2	2	6	15	13	10	9	10	6	6	9	10	11	11	3	2	6	1	2	2	4	2	3	4	3	2	4	3	5	9	4	3	4	4	3	4	3	5	5	10	8	2	1	2	5	5	11	5	3	4
CST3	2	1	2	5	5	8	5	4	4	8	4	5	2	2	5	7	7	4	5	10	4	1	5	3	6	9	4	10	13	8	15	5	11	13	2	2	13	8	8	12	9	31	5	15	63	46	74	62	51	32	26	75	48	47	49	39	24	22	2	3	3	4	3	9	8	5	5	7	5	11	14	15	13	10	12	10	15	9	31	28	21	25	2	12	9	13	33	26	27	27	24
CSTB	2	3	1	1	4	2	9	4	2	10	4	2	5	2	6	4	4	5	5	3	4	3	1	0	5	4	3	10	4	11	6	9	10	1	3	6	4	1	6	12	9	6	4	6	27	22	27	23	15	11	19	21	20	34	13	10	6	14	1	1	0	4	0	2	3	7	1	5	4	4	9	5	12	12	9	6	13	6	13	12	10	10	2	0	3	7	11	16	13	18	15
CYP17A1	0	0	3	1	4	2	3	1	4	1	0	0	1	4	1	2	2	2	1	3	6	0	3	2	1	2	0	4	2	6	4	1	9	3	0	4	4	0	8	6	4	5	4	4	15	12	14	15	11	8	14	10	9	14	2	3	5	8	2	2	0	2	2	2	2	2	1	2	4	10	5	5	9	7	5	4	5	5	6	9	9	7	0	6	2	2	8	8	6	16	6
CYP1B1	1	1	1	2	2	3	2	1	3	4	1	0	2	2	1	4	3	2	2	1	2	2	0	4	0	3	1	1	5	6	5	2	0	3	0	7	4	3	10	4	8	9	5	3	28	19	24	17	13	3	6	17	5	16	9	7	6	8	1	0	2	2	0	3	1	3	1	3	5	3	4	5	3	7	7	0	2	2	9	6	11	6	2	2	0	2	12	6	14	6	4
EPHX1	2	1	2	2	2	5	4	1	5	2	2	2	1	0	1	6	1	6	5	1	0	3	0	1	0	5	1	8	9	6	4	4	12	4	1	8	5	2	7	10	3	9	3	12	19	14	21	7	15	3	12	20	12	16	11	7	11	7	1	6	2	0	3	2	2	3	3	5	3	5	7	5	8	10	3	5	8	7	16	7	14	13	1	6	2	9	18	13	12	11	14
