"","NAWM-DSP-1001660016814-C-A02.dcc_1","NAWM-DSP-1001660016814-C-A03.dcc_2","NAWM-DSP-1001660016814-C-A04.dcc_3","NAWM-DSP-1001660016814-C-A05.dcc_4","NAWM-DSP-1001660016814-C-A06.dcc_5","WM_line_Lesion_1-DSP-1001660016814-C-A07.dcc_6","WM_line_Lesion_1-DSP-1001660016814-C-A08.dcc_7","WM_line_Lesion_1-DSP-1001660016814-C-A09.dcc_8","WM_line_Lesion_1-DSP-1001660016814-C-A10.dcc_9","WM_line_Lesion_1-DSP-1001660016814-C-A11.dcc_10","WM_line_Lesion_1-DSP-1001660016814-C-A12.dcc_11","WM_line_Lesion_2-DSP-1001660016814-C-B10.dcc_21","WM_line_Lesion_2-DSP-1001660016814-C-B11.dcc_22","WM_line_Lesion_2-DSP-1001660016814-C-B12.dcc_23","WM_line_Lesion_2-DSP-1001660016814-C-C01.dcc_24","NAWM-DSP-1001660016814-C-C02.dcc_25","NAWM-DSP-1001660016814-C-C03.dcc_26","NAWM-DSP-1001660016814-C-C04.dcc_27","NAWM-DSP-1001660016814-C-C05.dcc_28","NAWM-DSP-1001660016814-C-C06.dcc_29","WM_line_Lesion_1-DSP-1001660016814-C-C07.dcc_30","WM_line_Lesion_1-DSP-1001660016814-C-C08.dcc_31","WM_line_Lesion_1-DSP-1001660016814-C-C09.dcc_32","WM_line_Lesion_1-DSP-1001660016814-C-C10.dcc_33","WM_line_Lesion_2-DSP-1001660016814-C-D07.dcc_42","WM_line_Lesion_2-DSP-1001660016814-C-D08.dcc_43","WM_line_Lesion_2-DSP-1001660016814-C-D09.dcc_44","WM_line_Lesion_2-DSP-1001660016814-C-D10.dcc_45","WM_line_Lesion_2-DSP-1001660016814-C-D11.dcc_46","WM_line_Lesion_2-DSP-1001660016814-C-D12.dcc_47","WM_line_Lesion_2-DSP-1001660016814-C-E01.dcc_48","NAWM-DSP-1001660016814-C-E02.dcc_49","NAWM-DSP-1001660016814-C-E03.dcc_50","NAWM-DSP-1001660016814-C-E04.dcc_51","NAWM-DSP-1001660016814-C-E05.dcc_52","NAWM-DSP-1001660016814-C-E06.dcc_53","WM_line_Lesion_1-DSP-1001660016814-C-E07.dcc_54","WM_line_Lesion_1-DSP-1001660016814-C-E08.dcc_55","WM_line_Lesion_1-DSP-1001660016814-C-E09.dcc_56","WM_line_Lesion_1-DSP-1001660016814-C-E10.dcc_57","WM_line_Lesion_2-DSP-1001660016814-C-F07.dcc_66","WM_line_Lesion_2-DSP-1001660016814-C-F08.dcc_67","WM_line_Lesion_2-DSP-1001660016814-C-F09.dcc_68","WM_line_Lesion_2-DSP-1001660016814-C-F10.dcc_69","NAWM-DSP-1001660016814-C-G02.dcc_70","NAWM-DSP-1001660016814-C-G03.dcc_71","NAWM-DSP-1001660016814-C-G04.dcc_72","NAWM-DSP-1001660016814-C-G05.dcc_73","NAWM-DSP-1001660016814-C-G06.dcc_74","WM_line_Lesion_1-DSP-1001660016814-C-G11.dcc_79","WM_line_Lesion_1-DSP-1001660016814-C-G12.dcc_80","WM_line_Lesion_1-DSP-1001660016814-C-H01.dcc_81","WM_line_Lesion_1-DSP-1001660016814-C-H02.dcc_82","WM_line_Lesion_2-DSP-1001660016814-C-H08.dcc_88","WM_line_Lesion_2-DSP-1001660016814-C-H09.dcc_89","WM_line_Lesion_2-DSP-1001660016814-C-H10.dcc_90","NAWM-DSP-1001660016814-C-H12.dcc_91"
"HLA-DRB1",1.94591014905531,1.09861228866811,0,0,1.38629436111989,1.79175946922805,1.09861228866811,1.09861228866811,1.94591014905531,2.07944154167984,1.38629436111989,3.40119738166216,2.99573227355399,2.19722457733622,3.17805383034795,1.94591014905531,2.39789527279837,2.07944154167984,2.19722457733622,2.56494935746154,2.30258509299405,3.09104245335832,2.83321334405622,2.83321334405622,4.30406509320417,3.80666248977032,4.36944785246702,4.04305126783455,4.04305126783455,3.17805383034795,3.71357206670431,1.6094379124341,1.09861228866811,0.693147180559945,1.79175946922805,1.79175946922805,1.94591014905531,2.07944154167984,2.07944154167984,0.693147180559945,3.68887945411394,2.83321334405622,3.2188758248682,3.13549421592915,1.79175946922805,1.94591014905531,2.30258509299405,1.79175946922805,1.38629436111989,1.6094379124341,2.63905732961526,2.56494935746154,2.30258509299405,3.89182029811063,3.13549421592915,3.97029191355212,2.07944154167984
"HMOX1",0.693147180559945,1.09861228866811,0,1.38629436111989,1.94591014905531,1.94591014905531,1.94591014905531,1.09861228866811,1.09861228866811,1.6094379124341,1.6094379124341,2.39789527279837,2.39789527279837,1.94591014905531,2.19722457733622,2.07944154167984,2.07944154167984,0,2.56494935746154,2.77258872223978,2.07944154167984,2.56494935746154,2.30258509299405,2.56494935746154,3.85014760171006,3.36729582998647,4.02535169073515,3.61091791264422,3.71357206670431,2.89037175789616,3.43398720448515,2.19722457733622,1.38629436111989,1.09861228866811,1.79175946922805,1.79175946922805,2.39789527279837,2.07944154167984,2.39789527279837,1.09861228866811,3.13549421592915,2.484906649788,2.484906649788,3.09104245335832,1.6094379124341,2.07944154167984,1.94591014905531,1.38629436111989,1.38629436111989,2.56494935746154,1.79175946922805,1.38629436111989,1.94591014905531,3.63758615972639,3.17805383034795,3.49650756146648,1.79175946922805
"B2M",2.19722457733622,1.79175946922805,1.38629436111989,1.38629436111989,1.94591014905531,1.6094379124341,1.09861228866811,1.09861228866811,0.693147180559945,1.94591014905531,1.6094379124341,3.13549421592915,2.39789527279837,1.6094379124341,2.484906649788,2.07944154167984,2.484906649788,2.19722457733622,2.19722457733622,2.77258872223978,2.07944154167984,2.484906649788,2.19722457733622,2.39789527279837,4.23410650459726,3.68887945411394,4.55387689160054,4.20469261939097,3.87120101090789,2.77258872223978,3.43398720448515,1.94591014905531,0.693147180559945,1.38629436111989,2.39789527279837,1.6094379124341,1.94591014905531,2.07944154167984,1.94591014905531,1.09861228866811,3.46573590279973,3.36729582998647,3.17805383034795,2.39789527279837,2.07944154167984,2.30258509299405,1.6094379124341,1.94591014905531,2.30258509299405,2.07944154167984,1.6094379124341,2.56494935746154,2.70805020110221,3.58351893845611,3.46573590279973,3.68887945411394,1.38629436111989
"HLA-E",0,1.38629436111989,1.6094379124341,2.07944154167984,2.07944154167984,1.09861228866811,1.09861228866811,1.09861228866811,1.94591014905531,2.63905732961526,0.693147180559945,3.04452243772342,3.13549421592915,2.484906649788,2.56494935746154,1.94591014905531,2.56494935746154,1.6094379124341,2.30258509299405,2.94443897916644,2.39789527279837,2.19722457733622,2.70805020110221,2.94443897916644,3.91202300542815,4.00733318523247,4.30406509320417,4.14313472639153,3.93182563272433,3.2188758248682,3.85014760171006,2.19722457733622,1.38629436111989,1.38629436111989,1.38629436111989,2.19722457733622,2.07944154167984,1.79175946922805,1.94591014905531,1.6094379124341,3.61091791264422,3.04452243772342,3.04452243772342,3.04452243772342,2.63905732961526,2.30258509299405,2.56494935746154,2.83321334405622,1.79175946922805,2.30258509299405,2.07944154167984,2.63905732961526,2.70805020110221,4.07753744390572,3.66356164612965,3.93182563272433,2.30258509299405
"HLA-B",1.09861228866811,1.38629436111989,0.693147180559945,1.6094379124341,2.07944154167984,1.79175946922805,1.38629436111989,1.6094379124341,1.38629436111989,2.484906649788,1.6094379124341,3.61091791264422,3.52636052461616,2.30258509299405,2.94443897916644,1.6094379124341,2.56494935746154,1.38629436111989,2.07944154167984,2.99573227355399,2.07944154167984,2.83321334405622,3.17805383034795,3.13549421592915,4.20469261939097,3.91202300542815,4.89034912822175,4.40671924726425,4.29045944114839,3.66356164612965,3.85014760171006,2.39789527279837,1.6094379124341,2.07944154167984,1.09861228866811,2.39789527279837,1.94591014905531,2.63905732961526,1.94591014905531,0.693147180559945,4.04305126783455,3.13549421592915,3.58351893845611,3.36729582998647,2.77258872223978,2.30258509299405,1.94591014905531,2.07944154167984,1.79175946922805,2.63905732961526,2.19722457733622,1.94591014905531,2.39789527279837,4.04305126783455,3.89182029811063,4.39444915467244,2.30258509299405
