"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1001660018452.A.E08.dcc",0.939,0.061
"DSP.1001660018452.A.E09.dcc",0.915,0.085
"DSP.1001660018452.A.E10.dcc",0.933,0.067
"DSP.1001660018452.A.E11.dcc",0.661,0.339
"DSP.1001660018452.A.E12.dcc",0.998,0.002
