"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1001660016812.A.B01.dcc",0.033,0.967
"DSP.1001660016812.A.B02.dcc",0.011,0.989
"DSP.1001660016812.A.B03.dcc",0.061,0.939
"DSP.1001660016812.A.B04.dcc",0.041,0.959
"DSP.1001660016812.A.B05.dcc",0.056,0.944
"DSP.1001660016812.A.B06.dcc",0.039,0.961
"DSP.1001660016812.A.B07.dcc",0.11,0.89
