"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1001660018522.G.A02.dcc",0.997,0.003
"DSP.1001660018522.G.A03.dcc",0.997,0.003
"DSP.1001660018522.G.A04.dcc",0.998,0.002
"DSP.1001660018522.G.A05.dcc",0.999,0.001
"DSP.1001660018522.G.A06.dcc",0.511,0.489
"DSP.1001660018522.G.A07.dcc",0.998,0.002
"DSP.1001660018522.G.A08.dcc",0.998,0.002
