"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1001660018522.G.B11.dcc",0.084,0.916
"DSP.1001660018522.G.B12.dcc",0.054,0.946
"DSP.1001660018522.G.C01.dcc",0.029,0.971
"DSP.1001660018522.G.C02.dcc",0.076,0.924
"DSP.1001660018522.G.C03.dcc",0.096,0.904
"DSP.1001660018522.G.C04.dcc",0.024,0.976
"DSP.1001660018522.G.C05.dcc",0.074,0.926
