"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1001660021153.H.A02.dcc",0.998,0.002
"DSP.1001660021153.H.A03.dcc",0.997,0.003
"DSP.1001660021153.H.A04.dcc",0.998,0.002
"DSP.1001660021153.H.A05.dcc",0.987,0.013
"DSP.1001660021153.H.A06.dcc",0.981,0.019
