"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1001660019351.G.A02.dcc",0.998,0.002
"DSP.1001660019351.G.A03.dcc",0.9,0.1
"DSP.1001660019351.G.A04.dcc",0.935,0.065
"DSP.1001660019351.G.A05.dcc",0.542,0.458
