"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1012340093321.B.D10.dcc",0.874,0.126
"DSP.1012340093321.B.D11.dcc",0.871,0.129
"DSP.1012340093321.B.D12.dcc",0.978,0.022
"DSP.1012340093321.B.E01.dcc",0.978,0.022
"DSP.1012340093321.B.E02.dcc",0.931,0.069
