"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1012340086401.C.B11.dcc",0.998,0.002
"DSP.1012340086401.C.D05.dcc",0.997,0.003
"DSP.1012340086401.C.D06.dcc",0.998,0.002
