"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1012340093321.B.B05.dcc",0.92,0.08
"DSP.1012340093321.B.B06.dcc",0.964,0.036
"DSP.1012340093321.B.B07.dcc",0.99,0.01
"DSP.1012340093321.B.B08.dcc",0.997,0.003
