"","WM_line_Lesion_IronNeg","WM_line_Lesion_IronPos"
"DSP.1012340086401.C.C10.dcc",0.997,0.003
"DSP.1012340086401.C.E04.dcc",0.923,0.077
"DSP.1012340086401.C.E05.dcc",0.998,0.002
"DSP.1012340086401.C.E06.dcc",0.998,0.002
