"logFC","logCPM","LR","PValue","FDR","gene","Category"
2.19702683779178,11.8490377076338,192.760091414351,7.94117838277786e-44,1.83441220642168e-41,"PLP1","Common DEGs"
1.89429237634324,13.6697599399512,98.2054849350013,3.77143897814507e-23,4.35601201975756e-21,"CRYAB","Common DEGs"
1.72359829074908,11.6387241835271,90.099806548755,2.26443850463827e-21,1.74361764857147e-19,"TUBB4A","Common DEGs"
-1.8910559498113,13.2229111544434,88.8669637935891,4.22276855841127e-21,2.43864884248251e-19,"FCF1","Common DEGs"
1.34989892877651,12.3440707191482,68.8327381346325,1.07178627441028e-16,4.95165258777551e-15,"RPL32","Common DEGs"
-1.46956113230851,12.3040712268133,61.0697062100705,5.50893294950738e-15,2.12093918556034e-13,"LYRM2","Common DEGs"
-1.39971285391595,11.914872792686,47.887208054045,4.51457541709111e-12,1.48980988764007e-10,"FOXD4L5","Common DEGs"
1.15478449258258,11.8675788943864,47.4077358506207,5.76547083683553e-12,1.65534930306227e-10,"APLP1","Common DEGs"
1.1317937975258,12.2285145590466,47.1879987185046,6.4494128690738e-12,1.65534930306227e-10,"SPP1","Common DEGs"
-1.44017724839135,11.7373892006654,46.5747842111761,8.81877811888526e-12,2.03713774546249e-10,"C4orf46","Common DEGs"
1.25727792238503,14.6324194726394,43.7047294298313,3.81847892702549e-11,8.01880574675352e-10,"HSPA1A","Common DEGs"
-1.14032721331734,12.5624244634086,37.8335721289034,7.70444351935206e-10,1.48310537747527e-08,"PRMT8","Common DEGs"
-1.15168748171622,12.7747100879193,33.1757136861759,8.41955733133332e-09,1.49609057195231e-07,"MZT2B","Common DEGs"
1.09432329827025,11.3634395854508,32.7277271878328,1.06014122377461e-08,1.74923301922811e-07,"DBNDD2","Common DEGs"
-0.972940618653705,12.5795048008629,29.929310575273,4.48087689905749e-08,6.90055042454854e-07,"RPL21","Common DEGs"
1.00284159326517,14.2336740933528,29.2254344691871,6.44278932165059e-08,9.30177708313303e-07,"MBP","Common DEGs"
0.95052589311079,11.6122821881576,29.0721027049045,6.97339445074605e-08,9.47561245954317e-07,"CNP","Common DEGs"
1.22009375379409,13.1504322247303,28.2034659584816,1.09208834076972e-07,1.40151337065448e-06,"IGHG1","Common DEGs"
-1.11062613048587,11.8521631452484,27.0598841244616,1.97249067190098e-07,2.3904077549955e-06,"DOK6","Common DEGs"
1.13164813187978,14.1848599835105,26.9669732329665,2.06961710389221e-07,2.3904077549955e-06,"IGHG4","Common DEGs"
1.00451035387041,11.6213961245564,26.3833761015294,2.79939472564115e-07,3.07933419820527e-06,"STMN1","Common DEGs"
0.84852192442793,12.3319803819282,24.586500598349,7.10477105071002e-07,6.83834213630839e-06,"HSPH1","Common DEGs"
0.817337665186615,12.097608333711,24.1150313100156,9.07491630804e-07,8.38522266862896e-06,"QKI","Common DEGs"
0.910014447794936,13.0606733846615,23.9352041275512,9.96330666867357e-07,8.85201477101382e-06,"HSPA1B","Common DEGs"
-0.924560720418392,12.0983844411643,23.79188491967,1.07334034925733e-06,9.18302298809051e-06,"HNRNPA1","Common DEGs"
0.929745973879637,11.2934657170327,20.8241008414758,5.03454223101481e-06,4.15349734058722e-05,"PIP4K2A","Common DEGs"
1.06813078802548,13.1299002311435,20.7564129655314,5.21566246190351e-06,4.15454492655072e-05,"IGHG2","Common DEGs"
0.806674737699277,11.8386915370386,20.5320710084629,5.86404636988078e-06,4.47834700177818e-05,"RPS11","Common DEGs"
0.797113781335242,12.6815078573086,20.4850438234106,6.0099029028192e-06,4.47834700177818e-05,"TUBA1C","Common DEGs"
0.841226509144984,14.3650862196669,19.9728914525446,7.85478983143821e-06,5.67017640956946e-05,"FTH1","Common DEGs"
0.779392550434988,12.3383923139317,19.6244783403713,9.42538863343738e-06,6.59777204340617e-05,"ATP1B1","Common DEGs"
-0.917553939814716,13.1374147795249,18.9163137532377,1.36579699403045e-05,9.27938545944217e-05,"TMEM30A","Common DEGs"
0.747657059906151,12.6519418872421,18.3863559563936,1.80344742512617e-05,0.000117591849945081,"HSP90AB1","Common DEGs"
-0.855990531194125,13.6641517345993,18.3137263476334,1.87352371797306e-05,0.000117591849945081,"ADAM15","Common DEGs"
0.783241663001941,13.1567875429366,18.3036031930652,1.88350582163117e-05,0.000117591849945081,"HSP90AA1","Common DEGs"
-0.832976380539622,12.6612032212726,18.1778457043471,2.01205814368306e-05,0.000122311955576523,"BCL2L2","Common DEGs"
-0.86468321588399,11.640059803164,17.1496210728337,3.45478326843193e-05,0.000204629470514814,"NUPR1","Common DEGs"
-0.83352977129289,14.2153428278142,17.0340760920319,3.6714972604988e-05,0.000212028966793806,"DHRS1","Common DEGs"
-0.723145532923695,12.1046499117197,14.9415449815843,0.00011089389283356,0.000624792420598838,"RPSA","Common DEGs"
0.74368828060218,11.3687390278236,13.8498908529967,0.000198008237543763,0.00106706467058776,"EFHD1","Common DEGs"
0.738821759526121,11.7791381000004,13.8439891985271,0.000198631085866986,0.00106706467058776,"CALM2","Common DEGs"
-0.760846075875839,11.8311957324755,13.0708914338506,0.000299920361952498,0.00157458190025061,"CTSA","Common DEGs"
-0.642555535227888,12.6562203430872,12.4837554054951,0.000410506117986743,0.00210726473899861,"RPL7A","Common DEGs"
-0.87887895004668,11.5983082504882,12.062284797264,0.000514521934157134,0.00258379493022387,"TPI1","Common DEGs"
0.667520993201772,11.5905803914105,11.9395686726614,0.00054954200920339,0.00270094051331879,"NDRG1","Common DEGs"
0.577507700618408,12.2355148660197,11.742902514789,0.000610757001897115,0.00292313407570856,"HNRNPA2B1","Common DEGs"
