"","NAWM-DSP-1001660016814-C-A02.dcc_1","NAWM-DSP-1001660016814-C-A03.dcc_2","NAWM-DSP-1001660016814-C-A04.dcc_3","NAWM-DSP-1001660016814-C-A05.dcc_4","NAWM-DSP-1001660016814-C-A06.dcc_5","WM_line_Lesion_1-DSP-1001660016814-C-A07.dcc_6","WM_line_Lesion_1-DSP-1001660016814-C-A08.dcc_7","WM_line_Lesion_1-DSP-1001660016814-C-A09.dcc_8","WM_line_Lesion_1-DSP-1001660016814-C-A10.dcc_9","WM_line_Lesion_1-DSP-1001660016814-C-A11.dcc_10","WM_line_Lesion_1-DSP-1001660016814-C-A12.dcc_11","WM_line_Lesion_2-DSP-1001660016814-C-B10.dcc_21","WM_line_Lesion_2-DSP-1001660016814-C-B11.dcc_22","WM_line_Lesion_2-DSP-1001660016814-C-B12.dcc_23","WM_line_Lesion_2-DSP-1001660016814-C-C01.dcc_24","NAWM-DSP-1001660016814-C-C02.dcc_25","NAWM-DSP-1001660016814-C-C03.dcc_26","NAWM-DSP-1001660016814-C-C04.dcc_27","NAWM-DSP-1001660016814-C-C05.dcc_28","NAWM-DSP-1001660016814-C-C06.dcc_29","WM_line_Lesion_1-DSP-1001660016814-C-C07.dcc_30","WM_line_Lesion_1-DSP-1001660016814-C-C08.dcc_31","WM_line_Lesion_1-DSP-1001660016814-C-C09.dcc_32","WM_line_Lesion_1-DSP-1001660016814-C-C10.dcc_33","WM_line_Lesion_2-DSP-1001660016814-C-D07.dcc_42","WM_line_Lesion_2-DSP-1001660016814-C-D08.dcc_43","WM_line_Lesion_2-DSP-1001660016814-C-D09.dcc_44","WM_line_Lesion_2-DSP-1001660016814-C-D10.dcc_45","WM_line_Lesion_2-DSP-1001660016814-C-D11.dcc_46","WM_line_Lesion_2-DSP-1001660016814-C-D12.dcc_47","WM_line_Lesion_2-DSP-1001660016814-C-E01.dcc_48","NAWM-DSP-1001660016814-C-E02.dcc_49","NAWM-DSP-1001660016814-C-E03.dcc_50","NAWM-DSP-1001660016814-C-E04.dcc_51","NAWM-DSP-1001660016814-C-E05.dcc_52","NAWM-DSP-1001660016814-C-E06.dcc_53","WM_line_Lesion_1-DSP-1001660016814-C-E07.dcc_54","WM_line_Lesion_1-DSP-1001660016814-C-E08.dcc_55","WM_line_Lesion_1-DSP-1001660016814-C-E09.dcc_56","WM_line_Lesion_1-DSP-1001660016814-C-E10.dcc_57","WM_line_Lesion_2-DSP-1001660016814-C-F07.dcc_66","WM_line_Lesion_2-DSP-1001660016814-C-F08.dcc_67","WM_line_Lesion_2-DSP-1001660016814-C-F09.dcc_68","WM_line_Lesion_2-DSP-1001660016814-C-F10.dcc_69","NAWM-DSP-1001660016814-C-G02.dcc_70","NAWM-DSP-1001660016814-C-G03.dcc_71","NAWM-DSP-1001660016814-C-G04.dcc_72","NAWM-DSP-1001660016814-C-G05.dcc_73","NAWM-DSP-1001660016814-C-G06.dcc_74","WM_line_Lesion_1-DSP-1001660016814-C-G11.dcc_79","WM_line_Lesion_1-DSP-1001660016814-C-G12.dcc_80","WM_line_Lesion_1-DSP-1001660016814-C-H01.dcc_81","WM_line_Lesion_1-DSP-1001660016814-C-H02.dcc_82","WM_line_Lesion_2-DSP-1001660016814-C-H08.dcc_88","WM_line_Lesion_2-DSP-1001660016814-C-H09.dcc_89","WM_line_Lesion_2-DSP-1001660016814-C-H10.dcc_90","NAWM-DSP-1001660016814-C-H12.dcc_91"
"CALM2",2.19722457733622,1.09861228866811,1.79175946922805,1.09861228866811,2.39789527279837,1.79175946922805,1.09861228866811,1.6094379124341,1.38629436111989,1.38629436111989,1.79175946922805,2.39789527279837,1.6094379124341,0.693147180559945,2.19722457733622,2.30258509299405,2.07944154167984,1.38629436111989,2.19722457733622,2.39789527279837,1.94591014905531,2.07944154167984,2.19722457733622,1.38629436111989,3.2188758248682,3.36729582998647,3.76120011569356,3.25809653802148,2.94443897916644,3.2188758248682,2.99573227355399,2.39789527279837,2.19722457733622,2.19722457733622,1.79175946922805,1.79175946922805,0.693147180559945,2.39789527279837,1.38629436111989,1.09861228866811,2.70805020110221,2.63905732961526,2.39789527279837,2.83321334405622,3.17805383034795,2.07944154167984,1.94591014905531,2.39789527279837,2.30258509299405,2.56494935746154,1.38629436111989,2.30258509299405,2.30258509299405,3.17805383034795,2.89037175789616,3.04452243772342,2.07944154167984
"CTSD",2.39789527279837,0.693147180559945,1.09861228866811,2.56494935746154,2.484906649788,1.38629436111989,2.07944154167984,2.19722457733622,1.79175946922805,3.49650756146648,1.94591014905531,4.18965474202643,3.17805383034795,2.77258872223978,3.36729582998647,2.19722457733622,2.77258872223978,2.484906649788,2.39789527279837,3.3322045101752,2.77258872223978,3.2188758248682,2.99573227355399,3.25809653802148,5.24702407216049,4.91265488573605,5.32787616878958,5.02388052084628,4.71849887129509,3.95124371858143,4.07753744390572,2.484906649788,2.30258509299405,2.484906649788,2.94443897916644,2.39789527279837,2.39789527279837,3.09104245335832,2.63905732961526,1.94591014905531,4.70048036579242,4.18965474202643,4.35670882668959,3.91202300542815,3.04452243772342,2.19722457733622,2.63905732961526,1.38629436111989,2.30258509299405,3.13549421592915,2.77258872223978,3.36729582998647,2.89037175789616,4.21950770517611,4.04305126783455,4.70048036579242,2.30258509299405
"VEGFB",1.09861228866811,0.693147180559945,1.79175946922805,1.38629436111989,2.07944154167984,0.693147180559945,1.09861228866811,0.693147180559945,1.79175946922805,2.484906649788,1.38629436111989,2.77258872223978,2.63905732961526,1.09861228866811,2.77258872223978,1.94591014905531,2.07944154167984,1.6094379124341,1.38629436111989,2.19722457733622,2.07944154167984,2.19722457733622,2.83321334405622,2.484906649788,3.89182029811063,3.52636052461616,3.63758615972639,3.55534806148941,3.36729582998647,2.99573227355399,3.58351893845611,1.6094379124341,2.30258509299405,1.38629436111989,1.94591014905531,1.09861228866811,2.07944154167984,1.79175946922805,1.79175946922805,1.6094379124341,3.25809653802148,3.04452243772342,3.04452243772342,2.70805020110221,1.79175946922805,1.94591014905531,2.19722457733622,2.19722457733622,1.6094379124341,2.19722457733622,1.94591014905531,2.07944154167984,2.56494935746154,3.46573590279973,3.68887945411394,3.63758615972639,2.07944154167984
"S100A6",1.09861228866811,0.693147180559945,1.09861228866811,1.38629436111989,1.38629436111989,1.38629436111989,1.6094379124341,2.07944154167984,1.79175946922805,2.07944154167984,1.38629436111989,2.30258509299405,2.484906649788,2.484906649788,2.30258509299405,1.94591014905531,0.693147180559945,1.6094379124341,2.19722457733622,2.39789527279837,2.07944154167984,2.07944154167984,2.484906649788,2.484906649788,3.80666248977032,3.2188758248682,3.97029191355212,3.29583686600433,3.76120011569356,2.30258509299405,3.25809653802148,1.79175946922805,1.38629436111989,1.38629436111989,1.38629436111989,0.693147180559945,1.94591014905531,2.484906649788,1.94591014905531,1.38629436111989,3.04452243772342,2.99573227355399,3.3322045101752,3.04452243772342,1.94591014905531,0,1.38629436111989,1.6094379124341,1.38629436111989,2.30258509299405,2.19722457733622,1.94591014905531,1.79175946922805,4.0943445622221,3.55534806148941,3.49650756146648,1.09861228866811
"IGHG1",2.89037175789616,0.693147180559945,2.89037175789616,1.09861228866811,2.07944154167984,1.94591014905531,0,2.39789527279837,3.13549421592915,1.6094379124341,0.693147180559945,5.18738580584075,4.97673374242057,1.09861228866811,2.30258509299405,0.693147180559945,3.71357206670431,1.09861228866811,1.79175946922805,3.04452243772342,1.79175946922805,1.6094379124341,1.94591014905531,2.07944154167984,4.85981240436167,4.21950770517611,3.97029191355212,3.17805383034795,4.47733681447821,1.79175946922805,2.70805020110221,1.79175946922805,1.79175946922805,1.38629436111989,0.693147180559945,2.39789527279837,1.09861228866811,1.38629436111989,1.79175946922805,0.693147180559945,3.25809653802148,4.04305126783455,3.8286413964891,2.07944154167984,2.484906649788,3.09104245335832,2.30258509299405,3.43398720448515,3.49650756146648,1.38629436111989,0.693147180559945,2.70805020110221,1.6094379124341,2.63905732961526,5.41610040220442,4.15888308335967,2.83321334405622
"IGHG2",2.89037175789616,0,2.07944154167984,0.693147180559945,2.07944154167984,2.07944154167984,1.09861228866811,1.94591014905531,2.19722457733622,1.6094379124341,0.693147180559945,5.08759633523238,4.86753445045558,1.79175946922805,2.39789527279837,1.38629436111989,3.29583686600433,0,2.07944154167984,3.17805383034795,0,2.19722457733622,1.94591014905531,1.79175946922805,4.59511985013459,4.29045944114839,4.06044301054642,3.52636052461616,4.53259949315326,1.79175946922805,3.25809653802148,1.79175946922805,1.09861228866811,1.94591014905531,1.09861228866811,2.63905732961526,2.07944154167984,1.94591014905531,1.6094379124341,0,3.2188758248682,3.87120101090789,3.78418963391826,2.56494935746154,1.79175946922805,3.13549421592915,2.30258509299405,3.09104245335832,2.63905732961526,2.30258509299405,1.6094379124341,2.56494935746154,1.94591014905531,3.40119738166216,5.30330490805908,4.30406509320417,3.09104245335832
"IGHG3",2.63905732961526,1.94591014905531,2.39789527279837,0,2.07944154167984,1.79175946922805,0,1.38629436111989,3.25809653802148,1.94591014905531,0.693147180559945,5.17048399503815,4.77912349311153,0,2.83321334405622,1.38629436111989,3.2188758248682,0,2.484906649788,3.2188758248682,1.79175946922805,2.56494935746154,2.39789527279837,2.56494935746154,4.48863636973214,4.35670882668959,4.04305126783455,3.71357206670431,4.24849524204936,2.70805020110221,3.46573590279973,2.39789527279837,1.09861228866811,2.07944154167984,1.09861228866811,1.79175946922805,1.6094379124341,1.79175946922805,1.79175946922805,1.38629436111989,3.2188758248682,3.85014760171006,3.66356164612965,2.89037175789616,1.94591014905531,2.89037175789616,2.30258509299405,2.94443897916644,2.99573227355399,2.484906649788,1.79175946922805,2.07944154167984,2.63905732961526,3.55534806148941,5.11198778835654,4.53259949315326,3.36729582998647
"IGHG4",3.3322045101752,0,2.77258872223978,1.79175946922805,2.70805020110221,3.17805383034795,1.79175946922805,2.30258509299405,3.87120101090789,1.09861228866811,1.09861228866811,6.09582456243222,5.4971682252932,1.38629436111989,3.04452243772342,0,4.11087386417331,0,2.63905732961526,4.21950770517611,1.38629436111989,1.38629436111989,1.6094379124341,2.83321334405622,5.01727983681492,5.19849703126583,4.77912349311153,3.85014760171006,5.03695260241363,2.63905732961526,3.46573590279973,2.63905732961526,1.09861228866811,0.693147180559945,1.94591014905531,3.46573590279973,2.70805020110221,1.09861228866811,2.19722457733622,1.09861228866811,3.89182029811063,4.71849887129509,4.49980967033027,2.30258509299405,2.83321334405622,3.91202300542815,3.09104245335832,4.0943445622221,4.15888308335967,2.63905732961526,0.693147180559945,2.89037175789616,2.39789527279837,3.66356164612965,5.85793315448346,4.99721227376411,3.85014760171006
